Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
22,"S Liu, J Keung, Z Yang, F Liu, Q Zhou…",delving into parameter-efficient fine-tuning in code change learning: an empirical study,2024,2024 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10589847/,https://scholar.google.com/scholar?cites=9008130627434474802&as_sdt=2005&sciodt=2007&hl=en,1,2025-03-21 17:20:00,,,,,,,,,22,22.00,4,6,1,"… the effect of PEFT on code change learning. We choose two mainstream PEFT methods for … It can be seen as a combination task of monolingual CMG and program translation [58], and …",https://arxiv.org/pdf/2402.06247,https://scholar.google.com/scholar?q=related:Mm2MGhRPA30J:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
13,"X Li, S Yuan, X Gu, Y Chen, B Shen",few-shot code translation via task-adapted prompt learning,2024,Journal of Systems and Software,Elsevier,https://www.sciencedirect.com/science/article/pii/S0164121224000451,https://scholar.google.com/scholar?cites=13966078072552350435&as_sdt=2005&sciodt=2007&hl=en,2,2025-03-21 17:20:00,,,,,,,,,13,13.00,3,5,1,… LoRA decomposes the parameter change … LoRA to CodeT5 using the same hyperparameters and training data as the CodeT5 baseline. We follow the same experimental setup of LoRA …,,https://scholar.google.com/scholar?q=related:4-La8wJ60cEJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
0,J Hakkarainen,fine-tuning an open source chatbot to translate code from python to java using qlora: translating for more energy efficient code,2024,,lutpub.lut.fi,https://lutpub.lut.fi/handle/10024/168604,,3,2025-03-21 17:20:00,,,,,,,,,0,0.00,0,1,1,"… ), prefixtuning and prompt-tuning, but many of the methods fall under … PEFT methods found that with all of the tested methods including LoRA, adapter, prompt-tuning and prefix-tuning …",https://lutpub.lut.fi/bitstream/handle/10024/168604/diplomityo_hakkarainen_joonas.pdf?sequence=1&isAllowed=y,https://scholar.google.com/scholar?q=related:3tpVPqjz608J:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
4,"Q Tao, T Yu, X Gu, B Shen",unraveling the potential of large language models in code translation: how far are we?,2024,arXiv preprint arXiv:2410.09812,arxiv.org,https://arxiv.org/abs/2410.09812,https://scholar.google.com/scholar?cites=1387021569065886090&as_sdt=2005&sciodt=2007&hl=en,4,2025-03-21 17:20:00,,,,,,,,,4,4.00,1,4,1,"While large language models (LLMs) exhibit state-of-the-art performance in various tasks, recent studies have revealed their struggle for code translation. This is because they haven't …",https://arxiv.org/pdf/2410.09812,https://scholar.google.com/scholar?q=related:iiH6r8SwPxMJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
5,"J Martinez, T Ziadi, TF Bissyandé, J Klein…",bottom-up technologies for reuse: a framework to support extractive software product line adoption activities,2022,Handbook of Re …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-11686-5_14,https://scholar.google.com/scholar?cites=15801814187312945059&as_sdt=2005&sciodt=2007&hl=en,5,2025-03-21 17:20:00,,10.1007/978-3-031-11686-5_14,,,,,,,5,1.67,1,5,3,"… to implement new adapters. We consider that the creation or modification of adapters is not … Concretely, feature location techniques in our framework create mappings between features …",,https://scholar.google.com/scholar?q=related:oxeEIUhSS9sJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
10,"N Hlad, B Lemoine, M Huchard, AD Seriai",leveraging relational concept analysis for automated feature location in software product lines,2021,Proceedings of the 20th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3486609.3487208,https://scholar.google.com/scholar?cites=3527372048343751310&as_sdt=2005&sciodt=2007&hl=en,6,2025-03-21 17:20:00,,10.1145/3486609.3487208,,,,,,,10,2.50,3,4,4,"… and adaptable (possibility to add your own adapters) framework for the construction of SPLs from … Compared to our approach, none of the existing FCAbased feature location techniques …",https://hal.science/hal-03401135v1/file/Papier_GPCE_2021_FeatureLocation_Final_ACM_and_AuthorVersion.pdf,https://scholar.google.com/scholar?q=related:jtorbDC-8zAJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
153,"J Martinez, T Ziadi, TF Bissyandé, J Klein…",bottom-up adoption of software product lines: a generic and extensible approach,2015,Proceedings of the 19th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2791060.2791086,https://scholar.google.com/scholar?cites=4253503067406809659&as_sdt=2005&sciodt=2007&hl=en,7,2025-03-21 17:20:00,,10.1145/2791060.2791086,,,,,,,153,15.30,31,5,10,"… Adapters for the different artefact types. These … feature location, the current implementation consists in trying to map the Blocks to the Features. In concrete, we provide a feature location …",https://www.researchgate.net/profile/Tewfik-Ziadi/publication/280316731_Bottom-Up_Adoption_of_Software_Product_Lines_-_A_Generic_and_Extensible_Approach/links/55b23ce808aed621ddfda67d/Bottom-Up-Adoption-of-Software-Product-Lines-A-Generic-and-Extensible-Approach.pdf,https://scholar.google.com/scholar?q=related:OzrR94B6BzsJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
62,"J Martinez, T Ziadi, TF Bissyandé…",bottom-up technologies for reuse: automated extractive adoption of software product lines,2017,2017 IEEE/ACM 39th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7965259/,https://scholar.google.com/scholar?cites=10208876780152932089&as_sdt=2005&sciodt=2007&hl=en,8,2025-03-21 17:20:00,,,,,,,,,62,7.75,16,4,8,"… is preselected among the available adapters. At this point, … on feature location, the Eclipse Feature Location Benchmark (… example results of four different feature location approaches. …",https://hal.sorbonne-universite.fr/hal-01531890/file/ICSE2017%20%28003%29.pdf,https://scholar.google.com/scholar?q=related:-ca_tFc3rY0J:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
8,"M Ballarin, R Lapeña, C Cetina",leveraging feature location to extract the clone-and-own relationships of a family of software products,2016,International Conference on Software …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-35122-3_15,https://scholar.google.com/scholar?cites=2834589920941525336&as_sdt=2005&sciodt=2007&hl=en,9,2025-03-21 17:20:00,,10.1007/978-3-319-35122-3_15,,,,,,,8,0.89,3,3,9,Feature location is concerned with identifying software artifacts associated with a program functionality (features). This paper presents a novel approach that combines feature location …,https://svit.usj.es/wp-content/uploads/2021/05/Ballarin_ICSR_2016_PRE.pdf,https://scholar.google.com/scholar?q=related:WEmfyYN8VicJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
0,K Lano,comparing llm-based and model-driven program translation,2025,,kclpure.kcl.ac.uk,https://kclpure.kcl.ac.uk/portal/en/publications/comparing-llm-based-and-model-driven-program-translation,,10,2025-03-21 17:20:00,,,,,,,,,0,0.00,0,1,1,"… program translation approaches, and carry out a comparative evaluation of a DL and a rule-based program translation … for this task by fine-tuning, prompt tuning [16] or refinement [5]. …",https://kclpure.kcl.ac.uk/portal/files/318695459/icess24.pdf,https://scholar.google.com/scholar?q=related:9-FZt5eAdAsJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
2,L Schulte,investigating topic modeling techniques for historical feature location.,2021,,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1577685,https://scholar.google.com/scholar?cites=16272959160719445423&as_sdt=2005&sciodt=2007&hl=en,11,2025-03-21 17:20:00,,,,,,,,,2,0.50,2,1,4,"… The concept of feature location investigated in this thesis can serve as a supporting factor in … Specifically, in this thesis a changesetbased approach to feature location is pursued and …",https://www.diva-portal.org/smash/get/diva2:1577685/FULLTEXT01.pdf,https://scholar.google.com/scholar?q=related:rw0fiyMq1eEJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
1,"K Ghallab, T Ziadi, Z Chalal",an extensible feature-oriented approach for fine-grained code quality analysis,2024,Proceedings of the 23rd ACM SIGPLAN …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3689484.3690735,https://scholar.google.com/scholar?cites=11299381488850201368&as_sdt=2005&sciodt=2007&hl=en,12,2025-03-21 17:20:00,,10.1145/3689484.3690735,,,,,,,1,1.00,0,3,1,… to integrate any existing feature location techniques. A feature location in our approach refers … sion mechanism—through the development of adapters that can bridge the gap between …,,https://scholar.google.com/scholar?q=related:GGuK8Jh3z5wJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
68,"J Krüger, W Gu, H Shen, M Mukelabai…",towards a better understanding of software features and their characteristics: a case study of marlin,2018,Proceedings of the 12th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3168365.3168371,https://scholar.google.com/scholar?cites=550493374705780937&as_sdt=2005&sciodt=2007&hl=en,13,2025-03-21 17:20:00,,10.1145/3168365.3168371,,,,,,,68,9.71,14,5,7,"… This suggests that syntax-based feature location techniques … As a result, we argue that feature-location techniques can be … example controlling different hardware adapters. We also look …",https://se.ruhr-uni-bochum.de/wp-content/uploads/2022/07/2018-vamos-marlin.pdf,https://scholar.google.com/scholar?q=related:yUiLws6-owcJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
5,"G Aydemir, W Xie, F Güney",can visual foundation models achieve long-term point tracking?,2024,arXiv preprint arXiv:2408.13575,arxiv.org,https://arxiv.org/abs/2408.13575,https://scholar.google.com/scholar?cites=6401502275304285995&as_sdt=2005&sciodt=2007&hl=en,14,2025-03-21 17:20:00,,,,,,,,,5,5.00,2,3,1,"… rectly consider the most similar feature location to the query as the … , we employ Low Rank Adaptation (LoRA) [14]. This approach … Specifically, we apply LoRA to the query and value …",https://arxiv.org/pdf/2408.13575,https://scholar.google.com/scholar?q=related:K-ddHGe01lgJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
0,"AH Dahou, B Mathiak",subject classification of software repository.,2023,KDIR,scitepress.org,https://www.scitepress.org/Papers/2023/121596/121596.pdf,,15,2025-03-21 17:20:00,PDF,,,,,,,,0,0.00,0,2,2,… Software categorization involves organizing software into groups based on their behavior or … This research endeavors to advance the field of software categorization and facilitate better …,https://www.scitepress.org/Papers/2023/121596/121596.pdf,https://scholar.google.com/scholar?q=related:m34jFfk8QRgJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
4,"…, JY Hsu, MJ Fischer, JB Cohen, CM Lora…",emergency department/urgent care as usual source of care and clinical outcomes in ckd: findings from the chronic renal insufficiency cohort study,2022,Kidney Medicine,Elsevier,https://www.sciencedirect.com/science/article/pii/S2590059522000218,https://scholar.google.com/scholar?cites=10939636052274725565&as_sdt=2005&sciodt=2007&hl=en,16,2025-03-21 17:20:00,HTML,,,,,,,,4,1.33,1,6,3,Rationale &Objective Having a usual source of care increases use of preventive services and is associated with improved survival in the general population. We evaluated this …,https://www.sciencedirect.com/science/article/pii/S2590059522000218,https://scholar.google.com/scholar?q=related:vULkYwdl0ZcJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
0,"X Xia, D Zhang, W Song, W Huang, L Hurni",mapsam: adapting segment anything model for automated feature detection in historical maps,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2411.06971,,17,2025-03-21 17:20:00,,,,,,,,,0,0.00,0,5,1,"… To address these challenges, we introduce MapSAM, a parameter-efficient fine-tuning strategy that adapts SAM into a prompt-free and versatile solution for various downstream …",https://arxiv.org/pdf/2411.06971,https://scholar.google.com/scholar?q=related:blvgz5A6pPQJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
15,"J Bourgeois, V Sunderam, J Slawinski…",extending executability of applications on varied target platforms,2011,… Conference on High …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6063000/,https://scholar.google.com/scholar?cites=12192556566387411576&as_sdt=2005&sciodt=2007&hl=en,19,2025-03-21 17:20:00,,,,,,,,,15,1.07,4,4,14,"… given run; (3) assembly of adapters that provide different levels of … and source-to-source program translation. The idea is the … form realized via middleware adapters, and preparing target …",https://www.academia.edu/download/110898654/4538a253.pdf,https://scholar.google.com/scholar?q=related:eMpgI5mpNKkJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
8,"A Zlotchevski, D Drain, A Svyatkovskiy…",exploring and evaluating personalized models for code generation,2022,Proceedings of the 30th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3540250.3558959,https://scholar.google.com/scholar?cites=12971368750694612529&as_sdt=2005&sciodt=2007&hl=en,20,2025-03-21 17:20:00,,10.1145/3540250.3558959,,,,,,,8,2.67,2,4,3,"… in the literature for the task of software categorization, which aims at organizing projects into … Prefix tuning was first introduced by Li and Liang [15], with the goal of fine-tuning a general …",https://arxiv.org/pdf/2208.13928,https://scholar.google.com/scholar?q=related:MT7BSyePA7QJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
8,"T Ziadi, LM Hillah",software product line extraction from bytecode based applications,2018,2018 23rd International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8595082/,https://scholar.google.com/scholar?cites=16468817680371483826&as_sdt=2005&sciodt=2007&hl=en,21,2025-03-21 17:20:00,,,,,,,,,8,1.14,4,2,7,"… BUT4Reuse relies on adapters to support different artifact types. These adapters are the main extensible, pluggable components of the framework. An adapter is responsible for …",https://hal.science/hal-01879394v1/file/ICECCS2018.pdf,https://scholar.google.com/scholar?q=related:sgQ3vWz-jOQJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
11,"IKA Enriko, S Pramono, D Adrianto…",covid-19 vaccine distribution tracking and monitoring using iot,2021,… Conference on Green …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9538791/,https://scholar.google.com/scholar?cites=11889238108609726319&as_sdt=2005&sciodt=2007&hl=en,22,2025-03-21 17:20:00,,,,,,,,,11,2.75,3,4,4,"… As a result, vaccine distribution can be tracked precisely by deploying a LoRa-based tracker and monitoring sensor in the distribution trucks, and vaccine conditions can be maintained …",,https://scholar.google.com/scholar?q=related:b0e4YREP_6QJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
7,"P Jana, P Jha, H Ju, G Kishore, A Mahajan…",cotran: an llm-based code translator using reinforcement learning with feedback from compiler and symbolic execution,2024,ECAI 2024,ebooks.iospress.nl,https://ebooks.iospress.nl/doi/10.3233/FAIA240968,https://scholar.google.com/scholar?cites=4711572265892281069&as_sdt=2005&sciodt=2007&hl=en,23,2025-03-21 17:20:00,,10.3233/FAIA240968,,,,,,,7,7.00,1,6,1,"… ● We describe a whole-program translation method (and tool CoTran) based on interleaved training of LLMs through Supervised Fine-Tuning (SFT)- and RL-based optimization, to …",https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA240968,https://scholar.google.com/scholar?q=related:7XoXSgPeYkEJ:scholar.google.com/&scioq=%22parameter+efficient+fine+tuning%22%7C%22peft%22%7C%22lora%22%7C%22qlora%22%7C%22adapters%22%7C%22soft+prompts%22%7C%22prefix+tuning%22%7C%22prompt+tuning%22+%22feature+location%22%7C%22developer+forum+analysis%22%7C%22program+translation%22%7C%22software+categorization%22&hl=en&as_sdt=2007
